date,electricity_kwh,diesel_liter,natural_gas_m3,cement_ton,steel_ton,plastic_kg,production_units,operating_hours,capacity_utilization,co2_emission
2024-02-14,17874,194,319,9.06,8.27,139.23,2740,17,97.8,39097.01
2024-02-15,10838,176,592,15.33,3.7,557.61,5822,9,54.4,32264.27
2024-02-16,13237,97,687,19.02,10.66,358.35,2703,22,66.1,49583.51
2024-02-17,15004,296,275,13.49,4.9,160.08,5356,21,45.5,34878.01
2024-02-18,19310,290,293,17.83,11.44,337.09,4265,17,69.5,54551.24
2024-02-19,17827,82,453,11.51,7.78,407.93,5908,11,42.7,41052.77
2024-02-20,15390,187,641,12.52,9.47,441.98,5087,15,96.6,43689.22
2024-02-21,17087,209,674,17.01,11.13,386.68,3568,8,88.7,52081.09
2024-02-22,19690,150,467,10.79,14.53,552.68,5627,20,44.2,54635.39
2024-02-23,13726,95,452,6.42,11.2,135.59,2775,20,90.7,38600.48
2024-02-24,17817,211,314,9.23,4.42,448.37,3516,18,92.6,33072.27
2024-02-25,15587,266,476,19.51,9.58,311.74,4967,23,74.6,49878.07
2024-02-26,9122,289,747,10.58,12.32,270.4,5261,23,91.5,41935.7
2024-02-27,11440,232,724,16.1,5.86,288.86,5952,21,69.8,37049.15
2024-02-28,8728,135,596,18.43,7.67,105.42,5304,10,45.5,39261.08
2024-02-29,10502,77,583,12.24,8.92,141.64,5140,10,76.1,37314.7
2024-03-01,19130,262,683,19.19,12.38,156.73,5764,17,98.5,57530.97
2024-03-02,14541,272,332,16.06,9.55,452.92,2750,19,81.3,45956.79
2024-03-03,8953,285,452,17.58,8.11,211.29,3416,9,93.5,39809.9
2024-03-04,17409,54,228,6.27,14.84,287.14,3856,13,88.8,47907.88
2024-03-05,16702,120,416,13.88,7.2,454.09,3810,20,62.7,41353.68
2024-03-06,18406,140,730,6.67,8.91,105.68,3243,21,43.4,39109.38
2024-03-07,14619,249,560,16.16,11.17,218.75,2504,22,68.7,48830.96
2024-03-08,15576,105,316,19.45,3.15,584.94,3852,22,93.5,38243.66
2024-03-09,19125,262,402,18.79,6.04,447.71,5512,9,50.0,45943.43
2024-03-10,11376,63,342,11.82,10.53,392.16,4703,14,42.7,40695.6
2024-03-11,9353,273,557,11.83,10.44,238.69,3371,11,67.8,39401.35
2024-03-12,10745,109,377,8.99,7.32,229.97,3946,13,41.9,31627.54
2024-03-13,13320,210,660,15.27,4.95,555.46,5324,13,97.0,36706.56
2024-03-14,8255,246,649,6.24,13.52,375.79,3028,14,64.7,39462.94
2024-03-15,19328,195,423,19.78,7.52,474.79,3240,13,89.7,49629.01
2024-03-16,12784,254,304,11.22,6.28,128.19,2517,19,88.8,33373.35
2024-03-17,17860,151,636,13.78,11.71,478.54,2082,8,54.5,50882.49
2024-03-18,14600,159,200,19.31,10.27,214.32,2880,15,77.1,49128.15
2024-03-19,11419,144,271,5.33,8.98,338.11,2770,18,58.5,32016.25
2024-03-20,18176,103,435,13.41,13.52,301.74,2623,22,41.7,53131.48
2024-03-21,19470,278,777,17.08,13.84,408.63,4785,13,76.5,59381.63
2024-03-22,16017,79,534,11.56,13.85,274.13,2165,8,87.0,50352.09
2024-03-23,13115,79,305,17.94,14.39,173.54,4231,8,69.5,54001.69
2024-03-24,11579,133,268,19.7,8.91,264.38,5818,18,54.4,44743.14
2024-03-25,9906,160,382,13.77,7.8,448.83,2899,15,81.8,36781.24
2024-03-26,16472,244,394,12.73,14.68,400.97,5122,10,89.3,53696.57
2024-03-27,13585,141,733,6.33,4.45,330.39,4393,21,61.9,27387.3
2024-03-28,17945,94,272,6.38,8.77,443.89,3079,21,49.4,38097.23
2024-03-29,12143,110,536,9.15,12.67,474.13,3276,11,52.6,43466.88
2024-03-30,8638,105,725,14.27,7.43,331.27,2364,17,42.2,35746.35
2024-03-31,13126,52,562,12.98,4.29,323.71,4786,10,54.5,32158.95
2024-04-01,16152,168,684,7.73,9.77,520.35,4133,17,72.1,40775.69
2024-04-02,12632,194,724,13.9,11.15,494.59,4156,9,45.2,46000.55
2024-04-03,12206,263,233,13.37,10.04,382.23,5625,16,60.2,42113.41
2024-04-04,10739,75,519,13.56,7.27,593.26,5812,16,54.2,36745.67
2024-04-05,18901,70,781,8.69,4.93,193.28,5901,21,50.4,34318.78
2024-04-06,19062,186,442,5.27,11.36,598.63,2005,9,74.6,43597.51
2024-04-07,16195,128,317,8.87,5.05,434.32,3464,9,73.4,32336.54
2024-04-08,14316,93,525,19.52,11.53,199.75,2531,8,71.8,51775.33
2024-04-09,10048,139,519,6.31,9.07,566.01,4892,18,75.6,32971.83
2024-04-10,17093,227,209,13.23,9.59,200.87,3191,9,45.3,44602.75
2024-04-11,9342,150,528,16.4,10.15,335.79,4038,10,60.9,42878.48
2024-04-12,15984,118,517,16.19,7.9,566.47,5530,16,52.3,44572.58
2024-04-13,16162,84,712,16.12,9.89,520.91,5911,18,87.7,48415.71
2024-04-14,14413,109,490,7.46,12.77,432.6,5481,21,61.5,43795.35
2024-04-15,9065,138,601,17.25,8.27,288.47,5762,20,58.1,40024.57
2024-04-16,13142,112,342,13.66,7.26,295.74,3997,12,94.4,37796.21
2024-04-17,12018,88,397,19.1,10.53,267.45,3471,11,87.6,47627.2
2024-04-18,13788,82,677,18.41,12.46,175.84,3120,20,54.9,52222.72
2024-04-19,8950,82,453,8.07,11.57,346.99,3865,8,46.2,37341.73
2024-04-20,14028,208,427,11.86,10.25,351.14,5719,12,69.2,42787.59
2024-04-21,10371,125,329,5.18,10.18,382.75,2793,18,75.9,33366.06
2024-04-22,13779,60,453,18.63,10.0,300.43,2814,17,96.8,47814.49
2024-04-23,10443,267,340,7.09,4.21,228.01,3639,19,75.6,24351.28
2024-04-24,15147,149,523,16.85,3.28,425.68,5056,19,62.5,35886.07
2024-04-25,14024,295,250,16.05,14.21,562.78,3430,8,46.8,54087.42
2024-04-26,11476,139,619,6.87,14.05,534.95,2566,10,75.5,43718.01
2024-04-27,10708,224,508,10.03,12.63,102.32,2936,10,63.9,42285.79
2024-04-28,8536,139,274,18.84,8.59,340.42,4394,8,75.2,41111.34
2024-04-29,17146,157,378,8.72,9.93,182.76,5572,15,58.7,41325.39
2024-04-30,12380,112,355,8.19,9.18,587.77,5432,8,73.4,36453.19
2024-05-01,16533,269,262,19.95,9.03,397.69,5212,21,85.0,49875.7
2024-05-02,16058,233,517,8.08,5.29,118.27,2285,23,73.9,31772.02
2024-05-03,10065,50,789,15.71,9.33,367.23,3136,9,69.8,41722.96
2024-05-04,17138,112,463,17.93,14.35,286.65,3481,10,78.6,57878.42
2024-05-05,11451,274,286,19.68,13.08,533.5,5079,8,73.1,53154.92
2024-05-06,13954,265,642,12.58,10.14,269.64,5300,10,93.2,43525.73
2024-05-07,11675,288,463,6.49,5.92,461.13,5191,21,89.8,28766.29
2024-05-08,12547,293,364,7.12,7.88,262.0,4001,14,78.0,32894.64
2024-05-09,10198,134,346,6.84,13.52,421.46,2081,9,94.6,40871.64
2024-05-10,14852,197,722,8.89,7.56,395.15,2395,11,77.4,36596.95
2024-05-11,9279,271,425,17.92,5.63,587.27,3387,15,46.9,36776.32
2024-05-12,10679,108,327,7.73,8.82,356.23,2520,15,81.9,33347.79
2024-05-13,9304,152,400,7.09,13.02,592.2,2441,20,50.3,40036.7
2024-05-14,19990,86,274,17.34,9.36,507.53,2040,13,44.0,50825.45
2024-05-15,13796,202,577,15.8,4.28,170.01,4074,16,56.0,35225.5
2024-05-16,12263,147,467,14.5,8.93,386.65,5472,17,64.3,41372.29
2024-05-17,10681,95,775,10.31,14.5,192.19,2692,11,86.3,46314.44
2024-05-18,12124,198,495,11.56,13.99,460.77,4791,10,97.0,48068.68
2024-05-19,12150,160,605,15.99,5.58,115.59,5219,10,75.7,36203.51
2024-05-20,15101,158,681,14.35,8.69,272.19,4343,8,64.8,43280.69
2024-05-21,8060,220,241,11.9,3.91,138.88,2107,19,98.1,25668.37
2024-05-22,12197,147,723,10.41,4.1,558.66,5004,8,97.0,29862.77
2024-05-23,15982,61,517,19.37,12.1,419.47,5152,14,83.4,54493.72
2024-05-24,15119,247,399,8.75,8.87,210.6,5993,16,96.6,38094.86
2024-05-25,16238,81,215,18.88,5.17,383.97,2249,14,42.0,41161.98
2024-05-26,16820,56,336,7.89,4.38,310.88,3500,9,84.7,30327.54
2024-05-27,10419,216,601,12.84,10.73,425.08,5223,10,73.6,42122.22
2024-05-28,15980,147,330,15.44,7.08,462.38,2363,14,58.9,41867.33
2024-05-29,14640,53,548,14.92,11.85,360.08,2492,17,92.6,48838.67
2024-05-30,19713,104,369,19.86,3.0,192.74,3297,23,96.0,40862.58
2024-05-31,15206,95,228,16.51,7.82,339.94,2696,23,92.4,42910.16
2024-06-01,17454,170,465,6.38,7.04,361.26,4624,21,40.2,34895.17
2024-06-02,19692,191,575,9.31,6.56,216.8,5736,23,41.1,38401.14
2024-06-03,16173,256,784,6.64,7.7,162.22,4234,17,87.9,35585.39
2024-06-04,17130,173,639,18.26,10.21,551.86,4273,16,84.6,51853.92
2024-06-05,13690,121,774,8.46,12.97,160.17,5178,9,63.0,44330.9
2024-06-06,8936,290,705,16.69,7.2,128.92,5118,14,93.0,37646.32
2024-06-07,19362,69,772,8.9,9.18,345.59,5216,15,93.8,42909.52
2024-06-08,15906,279,319,16.22,3.42,547.46,3380,9,67.4,36411.52
2024-06-09,15490,172,740,18.33,14.47,531.06,2520,22,79.3,58372.95
2024-06-10,17610,236,425,11.13,7.47,229.88,5972,23,69.8,39831.74
2024-06-11,16228,109,792,5.92,13.59,358.04,4162,17,74.3,45759.9
2024-06-12,19303,147,239,13.49,6.2,539.31,5218,23,79.5,41275.61
2024-06-13,9704,62,562,8.58,14.16,152.92,5738,13,51.4,42762.86
2024-06-14,8556,107,230,17.39,4.55,267.56,5741,14,49.6,32201.1
2024-06-15,10403,51,788,12.61,3.08,243.52,5117,18,98.9,27643.02
2024-06-16,10064,153,422,10.65,3.11,509.34,3007,13,57.0,25862.41
2024-06-17,19718,123,432,19.44,7.1,416.31,3245,12,46.2,48599.3
2024-06-18,15059,145,683,6.02,6.61,454.09,2917,8,74.9,32432.86
2024-06-19,10752,71,673,6.12,13.23,595.07,2686,20,66.8,41067.57
2024-06-20,16954,276,580,10.75,3.79,510.76,4926,22,89.1,33415.02
2024-06-21,18698,107,737,7.38,8.62,572.15,5170,20,91.3,40576.33
2024-06-22,11342,168,356,9.48,13.08,486.41,5155,13,47.9,43651.86
2024-06-23,11778,130,581,7.27,8.19,571.81,2868,18,97.9,33769.39
2024-06-24,9682,234,652,19.76,7.91,547.05,5598,9,52.8,43111.52
2024-06-25,18047,290,723,13.44,8.66,371.62,3083,21,52.2,45453.41
2024-06-26,11676,102,719,16.56,13.14,480.51,4434,20,47.9,50932.08
2024-06-27,16884,73,577,14.25,12.56,340.76,4253,14,47.5,51391.7
2024-06-28,9875,277,720,8.01,8.9,132.1,3013,12,56.1,33661.16
2024-06-29,13463,121,594,19.77,4.79,332.3,4013,23,63.7,39698.2
2024-06-30,19758,144,365,9.37,11.34,530.06,2101,16,42.4,47401.91
2024-07-01,8213,228,287,7.19,4.23,385.45,5534,23,68.9,22860.53
2024-07-02,10720,251,441,9.9,9.21,143.93,3949,8,89.5,36057.74
2024-07-03,15833,199,302,6.99,9.81,444.73,2142,9,42.5,39078.93
2024-07-04,16619,98,516,15.6,3.38,568.11,5430,22,72.5,36374.31
2024-07-05,16907,57,517,16.75,10.35,342.2,2458,11,73.2,49534.19
2024-07-06,19653,107,221,11.78,10.72,363.2,2873,21,44.9,47598.11
2024-07-07,15179,136,723,7.39,13.46,209.61,5638,21,60.2,45543.04
2024-07-08,9927,270,508,14.88,8.98,377.68,4961,10,53.7,40226.83
2024-07-09,16503,154,258,14.75,5.39,440.11,4140,13,41.8,38468.2
2024-07-10,8352,184,531,7.61,14.53,307.95,4071,11,77.7,42056.93
2024-07-11,18971,157,581,19.81,3.48,533.52,2607,16,66.3,42456.21
2024-07-12,13631,277,777,13.97,12.52,427.5,2754,10,57.0,49459.47
2024-07-13,12732,61,436,11.99,13.03,217.9,2793,15,64.3,46200.32
2024-07-14,19561,221,725,19.57,5.17,527.19,5052,16,54.8,46168.95
2024-07-15,9646,63,703,13.69,10.95,147.63,5216,18,58.7,41794.75
2024-07-16,16219,115,362,14.85,6.9,486.74,5747,20,54.2,41259.92
2024-07-17,14430,188,209,6.1,5.04,359.89,3801,19,89.7,28122.67
2024-07-18,17472,182,475,13.82,14.38,226.26,4933,11,62.8,54541.46
2024-07-19,11178,214,403,12.12,13.13,502.84,4203,22,92.1,46224.69
2024-07-20,8619,238,533,5.86,9.37,568.3,4844,8,47.3,32194.75
2024-07-21,12293,278,258,9.74,9.09,120.79,2489,11,99.2,36638.99
2024-07-22,9239,92,325,19.28,10.67,533.96,3246,15,70.9,46295.35
2024-07-23,11249,200,627,12.98,4.51,166.36,2307,23,96.4,31094.7
2024-07-24,8891,168,207,19.55,4.13,436.3,5423,13,92.1,34184.82
2024-07-25,9198,83,392,17.57,14.34,441.62,4161,9,77.1,51201.17
2024-07-26,11719,96,787,6.7,12.55,559.34,5072,10,96.5,41334.99
2024-07-27,11124,97,268,13.66,7.18,179.64,2703,13,59.1,35525.25
2024-07-28,19424,218,288,18.06,12.39,383.51,2488,18,92.7,56491.93
2024-07-29,11173,287,218,17.12,12.15,498.91,2850,20,89.1,48757.58
2024-07-30,9367,103,654,5.09,6.9,283.23,2710,22,81.7,26858.34
2024-07-31,10875,142,672,13.95,9.55,322.21,4149,17,75.2,41067.24
2024-08-01,19207,159,202,13.14,14.42,523.58,3947,12,88.8,55583.64
2024-08-02,12760,61,332,10.98,9.96,366.8,4830,18,85.9,39967.74
2024-08-03,13445,95,697,15.73,9.25,511.2,4666,14,93.8,44664.43
2024-08-04,19380,173,598,8.65,14.12,130.13,2788,20,61.1,50963.72
2024-08-05,14012,245,572,9.27,6.69,501.51,4338,15,58.7,34779.62
2024-08-06,13539,207,201,9.09,7.96,160.94,5530,14,80.9,34877.49
2024-08-07,15052,208,782,9.43,12.52,192.61,2951,11,65.5,45814.31
2024-08-08,9798,103,584,10.6,9.32,156.15,4188,14,78.3,36087.03
2024-08-09,9300,263,419,8.42,5.54,405.49,4425,16,90.4,27602.6
2024-08-10,18823,201,248,8.55,12.37,237.4,4578,11,65.4,46920.98
2024-08-11,11273,138,345,16.5,4.8,311.97,2580,22,54.1,34481.53
2024-08-12,11179,275,631,9.68,5.76,203.09,3546,17,55.4,30597.65
2024-08-13,9100,234,453,7.13,6.29,398.52,5729,10,66.6,27603.57
2024-08-14,14780,216,658,19.87,4.54,152.05,3241,13,74.7,40304.17
2024-08-15,17382,158,235,6.28,13.73,195.93,4695,8,53.6,45925.46
2024-08-16,10472,280,760,17.48,11.04,134.97,2159,12,56.3,46608.82
2024-08-17,9735,99,266,12.99,6.89,266.5,5909,9,99.6,33483.58
2024-08-18,10817,151,408,19.93,8.36,266.78,2661,19,45.3,43641.11
2024-08-19,18060,270,486,16.32,5.05,304.74,4717,16,89.3,40890.78
2024-08-20,11083,194,599,14.97,12.55,563.59,2236,14,64.0,48141.3
2024-08-21,17732,261,447,13.1,13.1,360.48,4453,9,87.3,52270.99
2024-08-22,12895,210,659,16.73,11.5,118.08,2480,14,55.8,48372.57
2024-08-23,17793,154,540,10.19,5.87,354.86,2834,11,56.8,36598.09
2024-08-24,9689,245,665,12.74,14.03,348.48,2341,19,91.1,47366.17
2024-08-25,12107,288,760,6.75,12.81,290.31,5287,17,92.1,41890.66
2024-08-26,16325,116,206,9.57,3.97,301.49,4625,18,81.7,30560.61
2024-08-27,15373,69,465,17.34,4.59,531.01,2163,22,69.2,38842.29
2024-08-28,17325,129,437,7.62,9.03,299.33,3048,20,62.1,39198.87
2024-08-29,10964,275,736,8.49,3.96,488.36,2127,23,75.7,27011.73
2024-08-30,16734,127,731,11.59,4.27,420.41,3884,18,77.2,34570.95
2024-08-31,13179,200,666,10.8,9.77,195.89,4392,9,69.1,40333.06
2024-09-01,8689,208,255,9.46,8.16,185.33,2148,16,87.0,31762.87
2024-09-02,19757,164,462,15.38,3.75,354.71,3638,15,88.8,38933.84
2024-09-03,9382,173,420,14.36,9.32,313.04,5134,12,93.2,39380.16
2024-09-04,13693,276,718,12.88,8.78,188.44,4044,13,97.8,41098.75
2024-09-05,12481,111,604,5.29,6.12,480.14,5897,15,72.1,28609.85
2024-09-06,19276,262,441,14.44,5.39,132.31,2671,11,62.3,40271.04
2024-09-07,12592,237,594,11.82,13.13,149.04,5865,21,49.0,46646.32
2024-09-08,12719,131,426,10.64,7.73,329.72,4068,17,93.5,35861.08
2024-09-09,12200,241,216,14.88,14.31,504.44,5631,20,56.8,51389.71
2024-09-10,16433,107,431,11.92,10.65,429.68,4773,15,53.6,45508.82
2024-09-11,16080,237,372,7.25,11.85,356.11,4148,15,42.5,43186.0
2024-09-12,19768,136,242,14.89,12.63,152.68,5088,12,70.5,53488.43
2024-09-13,18142,159,427,10.25,12.3,430.69,4587,10,50.4,48485.25
2024-09-14,16964,143,551,6.03,8.09,141.31,4415,19,93.9,35633.42
2024-09-15,19911,153,528,10.73,5.47,160.69,5453,11,86.5,37584.41
2024-09-16,18408,266,577,12.17,13.75,261.11,5747,19,68.5,53164.13
2024-09-17,8769,167,359,16.22,12.74,428.24,2522,17,60.3,46862.26
2024-09-18,17127,195,382,6.43,7.51,375.05,5032,9,96.6,35462.11
2024-09-19,10461,261,371,7.96,13.64,422.91,4169,23,59.0,42666.52
2024-09-20,8038,290,432,13.16,10.63,210.53,5709,15,84.9,39591.54
2024-09-21,14381,184,435,5.81,6.84,476.59,3368,13,72.4,31775.82
2024-09-22,11537,51,740,15.28,4.1,582.56,3486,10,49.0,33576.5
2024-09-23,16652,71,620,13.86,9.1,248.77,4066,14,81.3,44468.87
2024-09-24,13926,157,566,18.16,8.21,180.42,5257,23,88.7,44419.91
2024-09-25,13995,54,714,19.88,4.19,300.75,2873,9,52.2,39140.79
2024-09-26,11081,198,501,14.24,5.26,277.69,3036,16,73.3,33467.07
2024-09-27,18473,139,513,5.53,11.95,201.24,5489,12,62.1,43431.3
2024-09-28,10634,193,269,18.15,14.96,284.15,3404,11,83.3,53642.8
2024-09-29,9013,276,353,10.87,7.95,447.81,4452,17,77.2,33916.67
2024-09-30,13891,237,256,10.82,7.83,537.13,5292,21,83.4,37591.18
2024-10-01,12431,235,254,15.54,3.63,343.3,5741,9,76.1,32607.42
2024-10-02,19451,109,518,6.16,3.7,267.12,2541,17,82.5,30058.59
2024-10-03,19166,149,218,11.6,4.77,264.1,3206,8,45.3,36162.41
2024-10-04,9651,162,675,16.03,14.98,566.56,3836,8,65.3,52382.69
2024-10-05,9283,197,246,6.78,7.92,519.9,2074,14,74.3,30185.77
2024-10-06,11471,118,704,13.48,14.76,182.65,3642,8,75.1,50168.31
2024-10-07,10757,130,762,19.11,6.11,314.83,2580,20,67.7,39555.89
2024-10-08,18195,98,273,19.06,11.47,415.59,2637,14,94.2,54508.22
2024-10-09,10978,178,512,5.11,3.69,212.61,5435,19,63.9,22149.62
2024-10-10,9619,201,747,5.2,6.39,122.3,3365,19,56.5,26265.18
2024-10-11,9974,269,469,8.74,6.26,479.7,3641,16,86.6,30033.41
2024-10-12,13675,122,427,5.5,3.75,553.22,3464,12,71.9,25396.76
2024-10-13,12000,268,718,6.3,5.84,466.22,5274,11,47.7,29170.11
2024-10-14,17135,248,625,17.42,12.45,412.21,2164,17,98.8,54932.44
2024-10-15,19844,180,798,7.97,9.78,331.97,3880,12,76.5,43819.45
2024-10-16,14588,218,360,7.27,5.7,225.48,4374,13,73.7,30522.13
2024-10-17,17879,110,772,17.9,11.67,133.83,5669,8,72.6,53840.94
2024-10-18,9517,247,776,11.43,4.69,432.09,3080,9,45.9,29660.39
2024-10-19,19407,161,634,14.76,9.55,131.14,3317,19,61.4,48287.56
2024-10-20,8610,241,442,16.79,5.42,229.31,2531,17,59.8,33894.2
2024-10-21,13774,169,412,14.89,4.94,227.75,5452,16,73.6,35333.22
2024-10-22,11867,75,646,13.29,4.13,271.83,3067,8,63.4,31203.78
2024-10-23,10274,55,635,11.78,7.77,146.7,4756,10,51.7,34706.34
2024-10-24,14411,123,207,9.31,12.51,388.8,5668,15,87.9,44368.46
2024-10-25,12654,192,437,13.0,4.9,447.95,5339,9,59.0,33277.69
2024-10-26,14530,158,458,18.46,5.03,353.53,4267,8,42.0,39692.86
2024-10-27,8612,209,459,16.98,14.61,528.44,4696,19,84.4,51322.36
2024-10-28,15183,178,774,12.28,4.47,462.59,5233,11,99.8,34585.24
2024-10-29,9529,272,770,7.43,3.15,379.88,4400,11,83.2,23217.27
2024-10-30,15833,175,426,7.81,13.3,509.53,3457,13,82.6,46437.22
2024-10-31,15544,188,649,17.32,8.51,278.9,3249,13,89.7,46022.93
2024-11-01,18013,267,476,6.69,4.05,459.54,3698,11,94.3,30748.49
2024-11-02,14450,224,537,16.23,10.81,410.46,5733,8,90.5,48486.84
2024-11-03,9674,143,488,6.89,11.11,262.55,2935,15,44.2,36056.6
2024-11-04,9958,247,400,14.83,14.9,136.34,2639,22,60.4,50004.92
2024-11-05,8441,202,342,8.19,3.4,251.97,5373,11,96.3,22155.56
2024-11-06,8459,194,750,17.11,3.71,549.42,3138,8,92.5,32259.35
2024-11-07,14362,200,642,6.66,8.36,330.18,4659,12,72.8,35338.85
2024-11-08,19810,196,741,17.04,8.75,109.0,2423,15,41.6,49457.06
2024-11-09,9750,199,282,19.59,12.91,449.66,4331,11,98.9,50989.56
2024-11-10,19981,112,272,9.57,12.95,240.76,4990,11,46.8,49690.91
2024-11-11,8933,230,664,8.63,3.15,334.38,4136,21,75.9,23387.41
2024-11-12,9762,282,533,16.15,3.58,551.45,3799,9,80.1,32020.57
2024-11-13,15789,135,326,14.39,9.38,519.08,4479,21,65.8,45005.74
2024-11-14,8778,113,693,17.84,9.26,131.82,3299,12,75.9,41820.37
2024-11-15,15156,250,644,5.49,13.42,132.34,4527,8,41.5,43661.31
2024-11-16,8342,224,623,9.75,8.22,486.94,3896,10,93.6,33324.98
2024-11-17,14748,199,431,19.22,8.34,494.4,2178,11,80.6,46924.73
2024-11-18,18587,77,605,16.8,14.65,231.34,4007,9,68.4,58636.73
2024-11-19,17984,121,286,11.1,13.7,101.46,4620,19,76.2,50473.53
2024-11-20,12378,185,666,9.15,14.66,265.67,4800,10,51.8,47128.99
2024-11-21,13410,225,248,5.11,5.63,118.36,2891,8,60.3,27018.4
2024-11-22,8340,294,517,10.95,3.53,238.91,3367,12,57.1,25313.05
2024-11-23,8855,70,770,12.61,13.49,346.77,4826,21,99.6,45386.0
2024-11-24,9356,176,757,7.48,7.68,464.93,2583,15,80.3,31230.6
2024-11-25,17324,61,644,9.64,12.89,577.53,5321,12,40.1,48884.42
2024-11-26,16365,136,630,5.89,10.25,443.29,3347,21,88.0,39784.26
2024-11-27,16611,131,684,6.82,8.03,475.59,5808,19,44.8,36995.31
2024-11-28,10702,90,304,14.7,13.66,399.35,2909,9,48.3,48368.23
2024-11-29,15544,88,739,7.58,10.65,470.49,3628,13,89.7,41527.79
2024-11-30,19613,89,457,5.18,8.06,247.52,3856,14,74.6,36949.33
2024-12-01,13476,262,773,13.38,7.12,464.59,3528,13,90.7,39139.79
2024-12-02,9130,195,619,15.09,6.3,253.16,5705,21,66.8,34679.32
2024-12-03,18081,81,650,11.75,9.95,479.68,4070,15,93.4,45936.54
2024-12-04,18233,106,317,15.58,11.26,287.28,4487,19,65.8,50811.37
2024-12-05,11267,214,767,16.43,14.36,269.88,5273,19,62.7,52498.55
2024-12-06,9442,220,678,16.88,10.15,150.63,2575,12,71.9,43377.0
2024-12-07,19951,165,639,19.82,8.45,444.14,3900,9,69.1,52110.33
2024-12-08,17591,137,642,12.98,4.63,149.65,5501,13,95.5,36348.88
2024-12-09,17449,100,461,16.34,8.5,244.62,4532,17,47.0,46039.62
2024-12-10,14313,173,234,18.33,10.24,513.35,4416,20,57.3,48781.29
2024-12-11,13619,194,308,19.56,12.28,590.05,5560,8,71.9,53389.52
